Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  967.3    355   12.7    8.0     73   6.96    224   10.0  288.5  308.4  289.8
  966.8    359   12.6    7.9     73   6.94    224   10.0  288.6  308.3  289.8
  966.4    363   12.6    7.9     73   6.93    225    9.9  288.6  308.3  289.8
  965.9    367   12.6    7.9     73   6.92    225    9.9  288.6  308.3  289.8
  965.4    371   12.6    7.9     73   6.92    225    9.9  288.6  308.3  289.8
  964.9    376   12.5    7.9     73   6.92    225    9.8  288.6  308.3  289.8
  964.4    380   12.5    7.8     73   6.92    225    9.8  288.6  308.3  289.8
  963.9    385   12.4    7.8     73   6.91    225    9.8  288.6  308.3  289.8
  963.4    389   12.4    7.7     73   6.87    225    9.8  288.6  308.2  289.8
  962.9    393   12.3    7.7     73   6.84    225    9.8  288.6  308.1  289.8
  962.4    398   12.3    7.7     73   6.85    225    9.8  288.6  308.1  289.8
  961.9    402   12.3    7.8     74   6.90    225    9.8  288.6  308.2  289.8
  961.5    405   12.2    7.9     75   6.95    225    9.8  288.6  308.4  289.8
  961.1    409   12.2    7.9     75   6.97    225    9.8  288.6  308.4  289.8
  960.7    412   12.1    7.9     75   6.96    225    9.8  288.6  308.4  289.8
  960.4    415   12.1    7.8     75   6.92    225    9.8  288.6  308.3  289.8
  960.0    418   12.1    7.7     74   6.88    225    9.8  288.6  308.2  289.8
  959.6    422   12.1    7.6     74   6.84    225    9.8  288.6  308.1  289.8
  959.2    425   12.0    7.6     74   6.82    225    9.9  288.6  308.0  289.8
  958.8    429   12.0    7.6     74   6.82    225    9.9  288.6  308.1  289.8
  958.4    432   12.0    7.7     75   6.89    225    9.9  288.6  308.3  289.8
  958.0    436   12.0    7.7     75   6.87    225    9.9  288.6  308.2  289.8
  957.6    440   11.9    7.4     74   6.74    224    9.9  288.6  307.9  289.8
  957.1    443   11.9    7.2     73   6.65    224    9.9  288.6  307.6  289.8
  956.7    447   11.9    7.2     73   6.66    224    9.9  288.6  307.7  289.8
  956.3    451   11.8    7.3     74   6.70    224    9.9  288.6  307.8  289.8
  955.8    455   11.8    7.2     73   6.67    224    9.9  288.6  307.7  289.8
  955.4    459   11.8    7.0     73   6.60    224    9.9  288.7  307.5  289.8
  954.9    463   11.7    6.9     72   6.53    224    9.9  288.7  307.3  289.8
  954.4    467   11.7    6.8     72   6.50    224    9.9  288.7  307.3  289.8
  953.9    471   11.7    6.8     72   6.52    224    9.9  288.7  307.3  289.8
  953.4    476   11.7    6.9     73   6.57    224    9.9  288.7  307.5  289.9
  952.9    480   11.6    7.1     74   6.65    224    9.9  288.7  307.7  289.9
  952.4    485   11.5    7.3     75   6.76    224    9.8  288.7  308.0  289.9
  951.8    490   11.5    7.4     76   6.80    224    9.8  288.7  308.0  289.8
  951.3    494   11.4    7.3     76   6.77    224    9.8  288.6  308.0  289.8
  950.8    499   11.4    7.2     76   6.73    224    9.8  288.7  307.9  289.8
  950.3    504   11.3    7.1     75   6.67    224    9.8  288.7  307.7  289.8
  949.8    508   11.3    6.9     74   6.60    224    9.7  288.7  307.5  289.8
  949.3    512   11.3    6.8     74   6.53    224    9.7  288.7  307.3  289.8
